t,NHS.region,date,deaths_adj,hosp_adm_adj,known_hosp_beds_adj,icu_bed_adj
22,South East,2020-01-23,,,,
22,South West,2020-01-23,,,,
23,East of England,2020-01-24,,,,
23,London,2020-01-24,,,,
23,Midlands,2020-01-24,,,,
23,North East and Yorkshire,2020-01-24,,,,
23,North West,2020-01-24,,,,
23,South East,2020-01-24,,,,
23,South West,2020-01-24,,,,
24,East of England,2020-01-25,,,,
24,London,2020-01-25,,,,
24,Midlands,2020-01-25,,,,
24,North East and Yorkshire,2020-01-25,,,,
24,North West,2020-01-25,,,,
24,South East,2020-01-25,,,,
24,South West,2020-01-25,,,,
25,East of England,2020-01-26,,,,
25,London,2020-01-26,,,,
25,Midlands,2020-01-26,,,,
25,North East and Yorkshire,2020-01-26,,,,
25,North West,2020-01-26,,,,
25,South East,2020-01-26,,,,
25,South West,2020-01-26,,,,
26,East of England,2020-01-27,,,,
26,London,2020-01-27,,,,
26,Midlands,2020-01-27,,,,
26,North East and Yorkshire,2020-01-27,,,,
26,North West,2020-01-27,,,,
26,South East,2020-01-27,,,,
26,South West,2020-01-27,,,,
27,East of England,2020-01-28,,,,
27,London,2020-01-28,,,,
27,Midlands,2020-01-28,,,,
27,North East and Yorkshire,2020-01-28,,,,
27,North West,2020-01-28,,,,
27,South East,2020-01-28,,,,
27,South West,2020-01-28,,,,
28,East of England,2020-01-29,,,,
28,London,2020-01-29,,,,
28,Midlands,2020-01-29,,,,
28,North East and Yorkshire,2020-01-29,,,,
28,North West,2020-01-29,,,,
28,South East,2020-01-29,,,,
28,South West,2020-01-29,,,,
29,East of England,2020-01-30,,,,
29,London,2020-01-30,,,,
29,Midlands,2020-01-30,,,,
29,North East and Yorkshire,2020-01-30,,,,
29,North West,2020-01-30,,,,
29,South East,2020-01-30,,,,
29,South West,2020-01-30,,,,
30,East of England,2020-01-31,,,,
30,London,2020-01-31,,,,
30,Midlands,2020-01-31,,,,
30,North East and Yorkshire,2020-01-31,,,,
30,North West,2020-01-31,,,,
30,South East,2020-01-31,,,,
30,South West,2020-01-31,,,,
31,East of England,2020-02-01,,,,
31,London,2020-02-01,,,,
31,Midlands,2020-02-01,,,,
31,North East and Yorkshire,2020-02-01,,,,
31,North West,2020-02-01,,,,
31,South East,2020-02-01,,,,
31,South West,2020-02-01,,,,
32,East of England,2020-02-02,,,,
32,London,2020-02-02,,,,
32,Midlands,2020-02-02,,,,
32,North East and Yorkshire,2020-02-02,,,,
32,North West,2020-02-02,,,,
32,South East,2020-02-02,1.07061200881982,0.682518351858144,,
32,South West,2020-02-02,,,,
33,East of England,2020-02-03,1.10559476141864,0.644596153925706,,
33,London,2020-02-03,,,,
33,Midlands,2020-02-03,,,,
33,North East and Yorkshire,2020-02-03,,,,
33,North West,2020-02-03,,,,
33,South East,2020-02-03,1.07061200881982,0.682518351858144,1.12536016254498,1.03767846884118
33,South West,2020-02-03,1.09508527665081,0.687149708284968,,
34,East of England,2020-02-04,1.10559476141864,0.644596153925706,0.726394185085304,0.952944484960366
34,London,2020-02-04,,,,
34,Midlands,2020-02-04,,,,
34,North East and Yorkshire,2020-02-04,,,,
34,North West,2020-02-04,,,,
34,South East,2020-02-04,1.07061200881982,0.682518351858144,1.12536016254498,1.03767846884118
34,South West,2020-02-04,1.09508527665081,0.687149708284968,0.672287358409492,0.880694495665823
